Address,Address Missing,Email Address,Email Missing,License Validity,Name,Negative Status,Official Representative,Representative Missing,Status,Tel No/s,Telephone Missing,Website,Website Missing
"R 20 G/F & 33B 2/F MIDLAND PLAZA HOTEL M ADRIATICO ERMITA, MANILA",False,brilliant_minds1015@yahoo.com,False,9/11/2017 to 9/11/2019,1015 BRILLIANT MINDS INC Private Employment Agency,False,ANITA A COBER,False,Valid License,(02) 2522338 / 2515100,False,,True
"R602 DOÃ‘A F SYJUCO BLG 1872 REMEDIOS COR TAFT AVE MALATE, MANILA",False,CARGOFLEET@MARC-SHIPS.COM,False,11/4/2011 to 11/3/2015,1022 MARITIME SERVICES CORPORATION Manning Agency,True,,True,Ceased Operations,5362997 5360831,False,,True
"2F & 3F, 1523-1527 M.H. DEL PILAR ST ERMITA, MANILA",False,tenthstorypai@yahoo.com,False,4/2/2016 to 4/1/2020,"10TH STORY PLACEMENT AGENCY, INC. Private Employment Agency",False,MR ALFONSO UY NG,False,Valid License,3531581,False,www.10thstory.com,False
2F&3FCORA ROSE BRIDALS CUENCA GONZAGA JUAN BACOLOD,False,,True,3/28/2001 to 3/28/2003,168 PLACEMENT CORPORATION Private Employment Agency,True,MA LISA G LOPEZ,False,Delisted,4336267,False,,True
"2FLR 118 J DEL ROSARIO ST., DONA PETRA SUBD TUMANA MARIKINA",False,168yelufa_hr@yahoo.com,False,1/28/2008 to 1/28/2012,168 YE LU FA INTERNATIONAL MANPOWER AND PROMOTION SERVICES Private Employment Agency,True,JAMES T. ONG LOPEZ,False,Delisted,516-8893,False,,True
"3/F ANGELA GAW BLG.1170 SN ANDRES ST. MALATE, MANILA",False,FIRSTAKCES_MANPOWER@HOTMAIL.COM,False,12/23/2006 to 6/23/2007,1ST AKCES MANPOWER INC (FORMERLY CHAYAN MAN PROMOTION PHILS INTERNATIONAL Private Employment Agency,True,NORMANDY P. REYES,False,Cancelled,5243869,False,,True
"3F, JLC BLDG, NO. 8 N. RAMIREZ STREET DON MANUEL, QUEZON CITY",False,1stdynamicpersonnel@gmail.com,False,4/8/2014 to 4/8/2018,1ST DYNAMIC PERSONNEL RESOURCES INC. Private Employment Agency,False,CATHERINE LIANA Z CHUA,False,Valid License,(02) 416-1848,False,www.1stdynamicpersonnel.com,False
"31A GB BLDG MONTEVERDE ST DAVAO CITY DAVAO CITY, DAVAO DEL SUR",False,,True,8/18/2006 to 8/18/2007,1ST FILIPINO OVERSEAS RECRUITMENT AGENCY (FORAI) INCORPORATED Private Employment Agency,True,LORENZO ANG,False,Delisted,,True,,True
"U16,12,24,25,47,48,49&50 CITYLAND COND 128 PIONEER MANDALUYONG",False,firstnorthern_international@yahoo.com,False,12/30/2017 to 12/29/2021,1ST NORTHERN INTERNATIONAL PLACEMENT INC Private Employment Agency,False,ANCHIE A SIBAL,False,Valid License,6381981/6381982,False,,True
"U14&15, DON GRACIANO BLG, 1180 E RODRIGUEZ SR AVE, QUEZON CITY",False,info@2000miles.org / 2000miles.pac@gmail.com,False,9/28/2015 to 9/27/2019,"2000 MILES PLACEMENT AGENCY, INC. (FOR:GEOSONS PLCT AGENCY, INC) Private Employment Agency",False,EMILIA S POBLETE,False,Valid License,4148717/ 4168229/ 6615388/ 09209503504,False,www.2000miles.org,False
"RM 202 2F KIMVI BLDG 1191 MA OROSA ST ERMITA, MANILA",False,2000mmsa@edsamail.com.ph,False,2/2/2004 to 2/1/2008,2000 MILLENNIUM MARITIME AND SHIPPING AGENCY Manning Agency,True,DANILO C ABUSO,False,Cancelled,521-1651/5211775,False,,True
"RMS 401,405,406&407, JR BLDG, 1520 QUEZON AVENUE SOUTH TRIANGLE, QUEZON CITY",False,recruitment@21stcmri.com,False,3/8/2016 to 3/7/2020,21ST CENTURY MANPOWER RESOURCES INC (FOR. NURSING INT`L.) Service Contractor,False,RUSSELL C GARCIA,False,Valid License,4121311/4144399/4101234,False,www.21stcmri.com,False
STALL 15 4F WELLCOME PLAZA 2410-2432 TAFT LIBERTAD PASAY CITY,False,crewing@2Qmaritime.com,False,7/21/2016 to 7/21/2020,2QUEENS MARITIME SERVICES INC Manning Agency,False,JAIME MARTIN U PABALAN JR,False,Valid License,8347191/ 09778831222,False,,True
"1361-C ABAD SANTOS BLG. ROMUALDEZ ST. PACO, MANILA",False,twotginternational@gmail.com,False,12/24/2015 to 12/23/2019,2TG MANPOWER INTERNATIONAL Private Employment Agency,False,ANACLETO A GUEVARA,False,Valid License,353-41-66,False,,True
"R201 LEE BUSINESS COR J LUNA COR JUAN DELA CRUZ ST DAVAO CITY, DAVAO DEL SUR",False,3JSGLOBALAGENCY@GMAIL.COM,False,1/12/2006 to 1/12/2010,3 JS GLOBAL RECRUITMENT AGENCY INC Private Employment Agency,True,CORAZON E. ABARQUEZ,False,Cancelled,(6382) 2286103/(632) 8329294/(632) 8312235,False,,True
301 COLUMBIAN BLDG WEST AVE COR EDSA QUEZON CITY,False,,True,3/24/1986 to 3/24/1988,3 PLEX INTERNATIONAL INC  Service Contractor,True,MR EDUARDO E SANTOS,False,Delisted,980823 / 9223741,False,,True
193 N S AMORANTO SR AVE QUEZON CITY,False,ims_3r@yahoo.com,False,to 1/1/1901,3 R`S OVERSEAS PLACEMENT CORPORATION Authority to negotiate,True,MS ROSARIO R REYES,False,Cancelled,608132 / 623598,False,,True
"50 K8 ST EAST KAMIAS CUBAO, QUEZON CITY",False,,True,9/26/2005 to 3/26/2006,3D MANPOWER & PLACEMENT SERVICES CORP. Private Employment Agency,True,ADARLO P. FALOGME,False,Cancelled,920-3043,False,,True
"UNIT 870 LIVINGSTONE BLG.J.NAKPIL ST. MALATE, MANILA",False,ims_3r@yahoo.com,False,2/3/2010 to 2/2/2014,3R INTERNATIONAL MANPOWER SERVICES Private Employment Agency,True,THELMA C. ADUNA,False,Cancelled,310-5049,False,www.3r-ims.com.ph,False
"RM 407 DNA FELISA SYJUCO BLG #1872 REMEDIOS ST MALATE, MANILA",False,,True,12/21/2001 to 12/21/2003,4M SJHALL AND ASSOCIATES MANPOWER INC Private Employment Agency,True,ALITA C BALANE,False,Denied Renewal,5241261 LOC 117/117,False,,True
"#59, 12TH AVE COR MAIN AVE, MURPHY CUBAO, QUEZON CITY",False,solmay_72@yahoo.com,False,10/4/2014 to 10/3/2018,5 STAR RECRUITMENT & MANPOWER CORPORATION Private Employment Agency,False,REYNALDO C. MADAMBA,False,Valid License,236-1082/ 09275534499,False,,True
"SUITE 1404 ERMITA CENTER BUILDING 1350 ROXAS BLVD ERMITA, MANILA",False,phrsi525@yahoo.com,False,3/1/2017 to 3/1/2019,525 PRIMERA HUMAN RESOURCES SERVICES INC Private Employment Agency,False,TRINA T DIZON,False,Valid License,2471221,False,,True
"RM 202 KIMVI BLG 1191 MA OROSA ST ERMITA, MANILA",False,,True,9/26/2007 to 9/25/2011,5A S INTERNATIONAL AGENCY CORPORATION Private Employment Agency,True,GILBERTO G. MANZO,False,Cancelled,536-2124,False,,True
"RMS 1081C&E AND 375-ABC RAMAGI BLDG 1081 P GIL ST PACO, MANILA",False,jobs@7blessingsdevelopment.net,False,7/21/2006 to 7/21/2010,7 BLESSINGS DEVELOPMENT AND PLACEMENT CENTER Private Employment Agency,True,JOSE L. FERNANDEZ,False,Cancelled,498-0430,False,WWW.7BLESSINGSDEVELOPMENT.NET,False
3/F ATLAS SHIPERS BLG BF HMS MARTINVILLE MANUYO II LAS PIÃ‘AS,False,jobsat7107@yahoo.com,False,12/10/2014 to 12/9/2018,7107 ISLANDS PLACEMENT & PROMOTIONS INC Private Employment Agency,False,JOEL P. LONGARES,False,Valid License,(02) 4628500 / 5532597 / 09175383014,False,www.my7107.com,False
"1331M H DEL PILAR ST ERMITA MANILA ERMITA, MANILA",False,info@818imc.com,False,8/2/2016 to 8/1/2020,818 INTERNATIONAL MANPOWER CORPORATION (FORMERLY MBJ PROSTAFF MANAGEMENT CO Private Employment Agency,False,WILLIAM L. CHUA,False,Valid License,02-313-9596/ 09089387444/ 09156239220,False,www.818imc.com,False
"UNIT 1193, LYRA BUILDING, 1191 QUEZON AVENUE QUEZON CITY",False,jocson@88acesmaritime.com,False,12/9/2017 to 12/8/2021,88 ACES MARITIME SERVICES INC Manning Agency,False,MA JANET A JOCSON,False,Valid License,4113778/3762389/0915-1879460,False,www.88acesmaritime.com.ph,False
U D&E 2/F PERMARC BLDG DR A SANTOS AVE PARAÃ‘AQUE,False,,True,12/15/2003 to 12/14/2007,88 INTERNATIONAL MANPOWER SERVICES INC Private Employment Agency,True,LETICIA SARAGA,False,Cancelled,8293772,False,,True
