Address,Email Address,License Validity,Name,Official Representative,Status,Tel No/s,Website
"R 20 G/F & 33B 2/F MIDLAND PLAZA HOTEL M ADRIATICO ERMITA, MANILA",brilliant_minds1015@yahoo.com,9/11/2017 to 9/11/2019,1015 BRILLIANT MINDS INC Private Employment Agency,ANITA A COBER,Valid License,(02) 2522338 / 2515100,None
"R602 DOÃ‘A F SYJUCO BLG 1872 REMEDIOS COR TAFT AVE MALATE, MANILA",CARGOFLEET@MARC-SHIPS.COM,11/4/2011 to 11/3/2015,1022 MARITIME SERVICES CORPORATION Manning Agency,,Ceased Operations,5362997 5360831,None
"2F & 3F, 1523-1527 M.H. DEL PILAR ST ERMITA, MANILA",tenthstorypai@yahoo.com,4/2/2016 to 4/1/2020,"10TH STORY PLACEMENT AGENCY, INC. Private Employment Agency",MR ALFONSO UY NG,Valid License,3531581,www.10thstory.com
2F&3FCORA ROSE BRIDALS CUENCA GONZAGA JUAN BACOLOD ,,3/28/2001 to 3/28/2003,168 PLACEMENT CORPORATION Private Employment Agency,MA LISA G LOPEZ,Delisted,4336267,
"2FLR 118 J DEL ROSARIO ST., DONA PETRA SUBD TUMANA MARIKINA",168yelufa_hr@yahoo.com,1/28/2008 to 1/28/2012,168 YE LU FA INTERNATIONAL MANPOWER AND PROMOTION SERVICES Private Employment Agency,JAMES T. ONG LOPEZ,Delisted,516-8893,NA
"3/F ANGELA GAW BLG.1170 SN ANDRES ST. MALATE, MANILA",FIRSTAKCES_MANPOWER@HOTMAIL.COM,12/23/2006 to 6/23/2007,1ST AKCES MANPOWER INC (FORMERLY CHAYAN MAN PROMOTION PHILS INTERNATIONAL Private Employment Agency,NORMANDY P. REYES,Cancelled,5243869,NA
"3F, JLC BLDG, NO. 8 N. RAMIREZ STREET DON MANUEL, QUEZON CITY",1stdynamicpersonnel@gmail.com,4/8/2014 to 4/8/2018,1ST DYNAMIC PERSONNEL RESOURCES INC. Private Employment Agency,CATHERINE LIANA Z CHUA,Valid License,(02) 416-1848,www.1stdynamicpersonnel.com
"31A GB BLDG MONTEVERDE ST DAVAO CITY DAVAO CITY, DAVAO DEL SUR",NA,8/18/2006 to 8/18/2007,1ST FILIPINO OVERSEAS RECRUITMENT AGENCY (FORAI) INCORPORATED Private Employment Agency,LORENZO ANG,Delisted,,NA
"U16,12,24,25,47,48,49&50 CITYLAND COND 128 PIONEER MANDALUYONG",firstnorthern_international@yahoo.com,12/30/2017 to 12/29/2021,1ST NORTHERN INTERNATIONAL PLACEMENT INC Private Employment Agency,ANCHIE A SIBAL,Valid License,6381981/6381982,None
"U14&15, DON GRACIANO BLG, 1180 E RODRIGUEZ SR AVE, QUEZON CITY",info@2000miles.org / 2000miles.pac@gmail.com,9/28/2015 to 9/27/2019,"2000 MILES PLACEMENT AGENCY, INC. (FOR:GEOSONS PLCT AGENCY, INC) Private Employment Agency",EMILIA S POBLETE,Valid License,4148717/ 4168229/ 6615388/ 09209503504,www.2000miles.org
"RM 202 2F KIMVI BLDG 1191 MA OROSA ST ERMITA, MANILA",2000mmsa@edsamail.com.ph,2/2/2004 to 2/1/2008,2000 MILLENNIUM MARITIME AND SHIPPING AGENCY Manning Agency,DANILO C ABUSO,Cancelled,521-1651/5211775,None
