Address,Address Missing,Email Address,Email Missing,License Validity,Name,Negative Status,Official Representative,Representative Missing,Status,Tel No/s,Telephone Missing,Website,Website Missing
"R316&318 (3F) GEDISCO CTR, 1564 A MABINI ST ERMITA, MANILA",False,rejoice.manpower@gmail.com,False,7/18/2015 to 7/17/2019,REJOICE EMPLOYMENT INTERNATIONAL CORP. Private Employment Agency,True,RITCHEL V QUINTON,False,Suspended (Document Processing),4501535/4501131/ 09175741580,False,,True
"R202 LBH BLG 1431 A MABINI ST ERMITA, MANILA",False,lpil@skynet.net,False,2/2/2006 to 2/2/2010,J.L.A. JOBLINK INTERNATIONAL CORP. Private Employment Agency,True,LEILA D. LACANLALE,False,Cancelled,682-9559,False,,True
RM.1011 RUFINO BLDG AYALA AVE MAKATI CITY,False,,True,to 10/20/1983,GC BALMES CONSTRUCTION  Construction Contractor,True,MR GERARDO C BALMES,False,Cancelled,880023,False,,True
"U101 P&R MANSION 1515 STO SEPULCRO ST PACO, MANILA",False,MRHGLOBALSERVICES@YAHOO.COM,False,10/13/2014 to 10/12/2018,MRH GLOBAL PERSONNEL SERVICES INC.(APEX INTERNATIONAL SERVICES CORP.) Private Employment Agency,False,MARVILYN C. RACUYA-HICKS,False,Valid License,5880429/5616551/5645828,False,WWW.MRHGLOBALSERVICES.COM,False
"130-C MARYLAND ST, CUBAO QUEZON CITY",False,,True,2/27/1997 to 2/26/1999,MONTE DE ORO LEAD CORPORATION (FOR OP TRINIDAD ENT INC) Private Employment Agency,True,MS MARITEZ L CANNU,False,Delisted,9218616,False,,True
"2F DCPI BLDG LAKANDULA ST COR DACUDAO AVE AGDAO DAVAO CITY, DAVAO DEL SUR",False,,True,1/6/2016 to 1/6/2020,SAN SALVADOR SHIPMANAGEMENT INC Manning Agency,False,EDUARDO P HERNAEZ JR,False,Valid License,(082) 3008739 / 09297626853,False,,True
505 A.MABINI COR A.FLORES STS ERMITA MANILA,False,,True,3/6/1996 to 3/5/1998,BB UNIWIDE INTERNATIONAL MANPOWER PLACEMENT SERVICES INC Service Contractor,True,HADJI ABUBACAR P BIRUAR,False,Delisted,8122272,False,,True
"RM 307, 3/F, DISCOVERY PLAZA COMMERCIAL CENTER, 16 MALATE, MANILA",False,rmz@yahoo.com,False,9/15/2017 to 3/14/2018,RMZ INTERNATIONAL MANPOWER SERVICES CO Private Employment Agency,False,ROBERTO MERCADO ZARAGOZA,False,Valid License,0916-4656617,False,,True
"UNIT 870, JULIO NAKPIL STREET MALATE, MANILA",False,tcm.internationalmanpower2001@gmail.com,False,12/15/2015 to 12/14/2019,TCM INTERNATIONAL MANPOWER SERVICES Private Employment Agency,True,CARLEN G ROQUE,False,Cancelled,310-1398,False,www.tcm-manpower.com,False
G/F #302 J.P. Rizal St. Proj.4 Q.C.,False,,True,8/21/2002 to 8/21/2003,PINNACLE OVERSEAS EMPLOYMENT INC. Private Employment Agency,True,FELIPE M. SANTILLAN III,False,Delisted,911-1160,False,,True
"MEZZANINE FLOOR, SEA TOWER BLDG, ROXAS BLVD. COR. PASAY CITY",False,office.ph@globalmar.nl,False,4/21/2015 to 4/20/2019,GLOBALMARITIME CREW INC Manning Agency,False,JEAN A JAVELLANA,False,Valid License,5118404/ 09062302764,False,www.globalmar.nl,False
"UNIT E-1,5F,DOMINION BLG, 833 A. ARNAIZ AVENUE MAKATI",False,jb@jobsglobal.com,False,8/17/2015 to 8/16/2019,JOBSGLOBAL.COM EMPLOYMENT SERVICES INC (FORMERLY HYACINTH PROMOTIONS INC) Private Employment Agency,False,CHRISTOPHER O. GAMELLA,False,Valid License,4035065 / 09771540207,False,www.jobsglobal.com,False
"RM501 GEDISCO TERRACE 1148 ROXAS BLVD ERMITA, MANILA",False,pveplacement@yahoo.com,False,2/1/2007 to 1/31/2011,PVE PLACEMENT AGENCY Private Employment Agency,True,ERLINDA C ERISPE,False,Cancelled,4841289 / 5363503,False,,True
"GROUND FLOOR, 1679 DIAN STREET SAN ISIDRO, MAKATI",False,skybourneinternational@gmail.com,False,11/11/2014 to 11/10/2018,"SKY BOURNE INTERNATIONAL, INC.(FORMERLY JFIL INTL. MANPOWER SERVICES) Private Employment Agency",False,CRISTY LYN P MASONSONG,False,Valid License,8870300 / 8870315 / 09999937390 / 09178588278,False,,True
104 ERMITA CTR BLDG ROXAS BLVD ERMITA MANILA,False,,True,11/17/1989 to 11/17/1991,MIC SEALINKER  Manning Agency,True,MR MANUEL N JOAQUIN,False,Delisted,,True,,True
"1019 & 1021, GENERAL MALVAR ST MALATE, MANILA",False,marizagency@yahoo.com,False,10/27/2015 to 10/26/2019,MARIZ MANPOWER SERVICES Private Employment Agency,False,WILFREDO M AFAN JR,False,Valid License,5246623/ 2542011/ 5249481/ 09185851011/09277207506,False,,True
153 CAPETOWN ST GREEN PARK VILL MANGGAHAN PASIG,False,,True,2/17/1994 to 2/16/1996,CROWN MARITIME SERVICES CORP.  Manning Agency,True,MR NICOMEDES C BERSE,False,Delisted,6456313,False,,True
RMS201 & 214 MADECOR BLDG P.FAURA ST ERMITA,False,,True,to 2/22/1986,EMS MANPOWER & PLACEMENT SERVICES INC Manning Agency,True,MR EDITHA M SABIDO,False,Delisted,5222466 / 581643,False,,True
"NO. 4348 DAYAP ST., BRGY. PALANAN, MAKATI",False,,True,8/10/2003 to 8/10/2007,"PHILSTAR-PRO INTERNATIONAL, INC. Private Employment Agency",True,GENEROSO LEGASPI JR.,False,Delisted,8318764,False,,True
692 JP RIZAL ST MAKATI MANILA,False,,True,8/29/1986 to 8/29/1988,DC OVERSEAS GENERAL SERVICES  Service Contractor,True,MR DIOSDADO NANQUIL,False,Forever Banned,,True,,True
RM.207 MERCHANT CTR BLDG P.FAURA ERMITA MLA,False,,True,1/18/1998 to 1/17/2000,ROYAL INTERNATIONAL PLACEMENT INC  Private Employment Agency,True,MS MERLINDA B BODULLO,False,Delisted,5281421 / 5281426,False,,True
"RM.711 ERMITA CTR 1350 ROXAS BLVD ERMITA, MANILA",False,centroproject03@yahoo.com,False,3/8/2016 to 3/7/2020,CENTRO PROJECT MANPOWER SERVICES CORP Service Contractor,False,MS ZARINA NARUKO,False,Valid License,5267776 / 526-7782,False,,True
POI-A 5F MACDOUTON BLDG 768 EDSA COR EAST AVE QC,False,,True,5/18/1998 to 5/16/2000,"PETER CAN INTER-UNIVERSAL MANPOWER SERVICES, INC. Service Contractor",True,PETER TAN CAN,False,Delisted,9228876 / 3680,False,,True
UNIT 3-A MABINI PLAZA 1770 A.MABINI ST ERMITA,False,,True,3/8/1996 to 3/7/1998,IDG HUMAN RESOURCES INC. (FOR IDG TRADING & GEN. SERV. INC) Service Contractor,True,MR LOLITO L MARASIGAN,False,Delisted,5262626 / 5262624,False,,True
VERNIDA I BLDG AMORSOLO ST LEGASPI VILL MAKATI,False,,True,to 2/4/1986,EP SUIZA CONSTRUCTION COMPANY INC  Construction Contractor,True,ENGR EDUARDO P SUIZA,False,Cancelled,,True,,True
"R404,405&406 JALANDONI BLG 1444A MABINI ST ERMITA, MANILA",False,y_lglobalmanpower@yahoo.com,False,10/9/2014 to 10/8/2018,Y & L GLOBAL MANPOWER CORPORATION (FORMERLY Y & L GLOBAL MANPOWER) Private Employment Agency,False,ROSALYN I. JALAD,False,Valid License,5365769/ 2449092/ 0917-8888559,False,,True
U5 #1406 APACIBLE COR M GHANDI PACO MANILA,False,,True,2/16/2007 to 2/15/2011,GENERAL WING INTERNATIONAL PHILIPPINES (GWIPCOR)CORPORATION Private Employment Agency,True,JOANA L. MOJICA,False,Delisted,3386882,False,,True
"3F, CORE TOWN BLG, 2822 EDSA EXT COR P. CELLE ST PASAY CITY",False,sankoemployment902@gmail.com / jezrie88@gmail.com,False,8/25/2016 to 8/25/2018,SANKO EMPLOYMENT SOLUTIONS INCORPORATED Private Employment Agency,False,ROSENDO M CERALDE,False,Valid License,(02) 8370806 / 9853221/ 09150531164 / 0917829220,False,,True
"S7,12,14,22, 23, 24 & 25, 2F, MIDLAND PLAZA COND,  ERMITA, MANILA",False,simsi@sarainternational.com.ph,False,10/11/2015 to 10/10/2019,"SARA INTERNATIONAL MANPOWER SERVICES, INC. Private Employment Agency",False,MARICAR J. MONZON,False,Valid License,5284620 TO 22/,False,www.sarainternational.com.ph,False
"GF-4B AND38C,39 A&B,43A,47, 3F,MIDLAND PLAZA COND, ERMITA, MANILA",False,zcareeredge2014@gmail.com,False,8/6/2016 to 8/5/2020,Z CAREER EDGE INC. Private Employment Agency,False,RICARDO BORILLA MENDOZA,False,Valid License,3106832/ 09472529524/ 09153508170,False,www.zcareeredge.net,False
"U301 D ALFONSO COND 1108 GUERERO ST UN AVE ERMITA, MANILA",False,smai@pldtdsl.net,False,4/28/2017 to 4/27/2021,SUPER MANNING AGENCY INC Manning Agency,False,MR LEOPOLDO N CLARACAY,False,Valid License,5221711/4000015/ 5247359,False,www.supermanning.com,False
"U-4 & 30,3F,LEGASPI TWRS 300, R BLVD COR P OCAMPO MALATE, MANILA",False,apply@skyhigh-manpower.net,False,10/15/2017 to 10/14/2021,SKYHIGH MANPOWER RECRUITMENT INTL INC Private Employment Agency,False,ROSALYN T OMPOC,False,Valid License,02-7143891/3530732,False,www.skyhighmanpower.com,False
96A SIERRA MADRE ST BGY MALAMIG MANDALUYONG,False,,True,6/24/2002 to 6/23/2004,GOLDEN LIGHT MARITIME AGENCY Manning Agency,True,MARY ANN L MOLANA,False,Delisted,8513378,False,,True
"3/F SANKO LINE BLDG 1631 SAN MARCELINO ST BRGY 694 MALATE, MANILA",False,admin@ttphilco.ph,False,6/30/2016 to 6/30/2018,TEAM TIME PHILIPPINES COMPANY INC Private Employment Agency,True,,True,Suspended,2414402 / 0998321598 / 09355408369,False,www.ttphilco.ph,False
"M1559 (GF) AND M-204,206, 207 & 208 (2F) LUZ HENSO ERMITA, MANILA",False,phil@greengate.ph,False,3/3/2015 to 3/2/2019,GREENGATE MANPOWER SERVICES CO Private Employment Agency,True,GILBERT C. GAVINO,False,Cancelled,400-4001,False,,True
